"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP05.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Furnishings, household equipment and routine household maintenance","Period average, Period-over-period percent change","Annual","Units","0.8406186953597813","0.03334444814936979","-0.09166666666668","2.594044540829107","1.666666666666732","0.8956417433026464","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP08.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Communication","Period average, Period-over-period percent change","Annual","Units","1.27470271195139","1.351579658726123","2.733788964827518","1.760506246957617","1.028462090408993","3.89046717171714","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP10.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Education","Period average, Year-over-year (YOY) percent change","Annual","Units","10.20326823435635","8.47197106690776","4.74285237976164","3.827789272640425","2.889553153981789","3.046781883194248","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP02.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Alcoholic beverages, tobacco and narcotics","Period average, Period-over-period percent change","Annual","Units","4.480398257622899","2.093082617204087","1.450120843403567","4.419617185574701","4.35056250491697","3.528347406513873","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP01.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Food and non-alcoholic beverages","Index","Annual","Units","102.6666666666667","100.0083333333334","97.64166666666668","99.77500000000002","101.85","103.2166666666666","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP01.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Food and non-alcoholic beverages","Period average, Year-over-year (YOY) percent change","Annual","Units","-0.1944264419960144","-2.589285714285681","-2.366469460878312","2.184859605701125","2.079679278376326","1.341842578955916","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP06.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Health","Period average, Year-over-year (YOY) percent change","Annual","Units","2.74869109947644","1.910828025477707","2.1083333333334","2.611605321145775","2.521275749622238","2.536850271528316","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP06.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Health","Period average, Period-over-period percent change","Annual","Units","2.74869109947644","1.910828025477707","2.1083333333334","2.611605321145775","2.521275749622238","2.536850271528316","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP09.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Recreation and culture","Period average, Period-over-period percent change","Annual","Units","0.8692018386961804","-0.5634269616372856","0.391634030497492","1.93393094289512","3.02906929403143","1.904686635580463","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP09.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Recreation and culture","Period average, Year-over-year (YOY) percent change","Annual","Units","0.8692018386961804","-0.5634269616372856","0.391634030497492","1.93393094289512","3.02906929403143","1.904686635580463","","","","","",""
